video_id,summary,category
7349900395843472672,"A man in a suit and tie is standing in front of a crowd, holding a microphone. He is talking to another man who is also holding a microphone. The man in the suit is wearing a blue cap with a Russian flag on it. The man in the suit is talking about the situation in Ukraine and how Russia is not involved in the conflict. He is also talking about his own military service in the 90s.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023 STOP THE KILLING STOP HATE. TIME TO DONATE."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various beauty and skincare products. The video then focuses on a shelf displaying different types of Balea products, including a pink box of Vital Augencreme, a blue box of Aqua Roll-On, and a yellow box of Q10 Anti-Falten Augencreme. The prices of the products are also displayed on the shelves. The video then shows a close-up of the yellow box of Q10 Anti-Falten Augencreme, with the price of 1,",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens, culminating in a battle where the aliens are defeated and the humans emerge victorious. The video begins with a close-up of a sandwich being assembled, with the text ""time"" appearing on the screen, indicating the passage of time. The scene transitions to a group of humans and aliens, with the text ""tribute"" appearing, suggesting that these individuals are being sent as tributes to participate in the Intergalactic Battle Royale. The aliens are depicted as being defeated and the humans as being victorious, with the text ""humans"" appearing on the screen. The video then shows a close-up of a sandwich being",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their hand.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany, coming in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink coat",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person is applying the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that read ""e.l.f brow lift review"" and ""e.l.f brow lift clear by ALF for like $10."" The person appears to be explaining the benefits and results of using the brow lift product.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting. The background is a vibrant mix of pink, orange, and purple hues, resembling a nebula or galaxy. The person is seen gesturing with their hands, possibly emphasizing points in their speech.

Throughout the video, the person is seen holding the black object in their right hand and gesturing with their left hand. The cosmic-themed background remains consistent, providing a visually appealing backdrop to the person's presentation. The person's attire",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The text ""Me (a huge horror freak) thinking no scene could ever affect me"" appears at the top of the screen. The scene then transitions to a person in a white shirt and tie, with blood on their face, standing in a dimly lit room with a green hue. The text ""This scene"" appears at the top of the screen. The video then shows a close-up of the person in the white shirt and tie, with the text ""And they were both found dead"" appearing at the top of the",1. News
7394913119375527210,A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something.,Politics
7327439802637307178,"A person is standing next to a white truck, talking about the features of the truck. The person is wearing a camouflage hoodie and is holding a phone. The truck has a black interior and a black front bumper. The person is pointing at the truck and talking about the features of the truck.",Sports
7296461109572275488,"The video features a series of interviews with Trump supporters who express their disagreements with the President's stance on unions. The interviews take place in various outdoor settings, including a metal building and a parking lot, with the participants wearing red hats and jackets with the ""Make America Great Again"" slogan. The text overlay in yellow at the top of the screen reads ""Trump Supporters: I Disagree with Trump on..."" and the text in white at the bottom of the screen reads ""what do you think about unions?"" The participants express their views on the importance of unions, the impact of Trump's policies on unions, and their personal experiences with unions. The video concludes with the participants continuing their conversation,",Politics
7385384197864557855,"The video features a series of images from a television broadcast, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums with microphones. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate wasa-wa-shitting whoever wasn't talking."" The images are static, with no movement or action taking place. The video does not contain any additional audio or visual elements.",Politics
7358352976639184146,"The video shows a person driving a car on a rainy day, with the windshield wipers on. The rain is falling heavily, creating a misty effect on the windshield. The person is driving on a highway, and the traffic lights are visible in the distance. The video captures the changing colors of the sky as the sun sets, with the sun reflecting off the wet road and the car's windshield. The video also shows the person's reflection in the car's windshield, as well as the reflection of the traffic lights in the rain.",Science & Technology
7371030140370963713,"The video is a series of clips from a video game, specifically a first-person shooter game. The game is set in a medieval-style environment with stone buildings and cobblestone streets. The player is using a futuristic weapon with a glowing green and blue design. The player is seen navigating through the environment, taking cover behind walls and using the weapon to shoot at enemies. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is",Sports
7328941581862473006,"The video showcases a fighter jet in flight, with the text ""HIGH"" appearing in yellow letters. The jet is seen on a runway, with a person in the background. The jet then takes off, and the text ""TARGET"" appears in yellow letters. The jet is seen on an aircraft carrier, with a green truck and a person in the background. The jet is then seen flying in the sky, with the text ""HIGH"" appearing in yellow letters. The jet is seen flying in the sky, with the text ""TARGET"" appearing in yellow letters. The jet is seen flying in the sky, with the text ""HIGH"" appearing in yellow letters. The jet",1. News
7295860137162591519,"The video features a person wearing a plaid shirt, speaking in front of a blue-lit background. The person is seen discussing various topics related to politics and social justice, including the treatment of indigenous people, the justification of violence, and the impact of power imbalances in society. The person expresses frustration with the way people justify violence and the unaliving of children, and emphasizes the importance of remembering the feelings of righteousness that can lead to harmful actions. The video concludes with the person reiterating the importance of remembering the feelings of righteousness and the potential for these feelings to lead to harmful actions.",Politics
7407540452611640606,"The video shows a person in a blue shirt sitting at a desk in an office. The person is wearing black gloves and is surrounded by various items, including a passport, a laptop, and some papers. The person is seen typing on the laptop and looking at the passport. The background features a white door and a beige wall. The person then picks up a pen and starts writing on a piece of paper. The person continues to write on the paper, occasionally looking at the passport. The person then places the pen down and looks at the camera. The person then raises their hand and waves. The video ends with a black screen displaying the text ""Passport, please. Keep your eyes on",Science & Technology
7372987016914455841,"The video shows a cricket match between Pakistan and England. The players are wearing different colored uniforms, with the Pakistan team in orange and the England team in green. The match is taking place in a large stadium with a crowd of spectators. The players are seen running and playing the game.",Sports
7366561209996332320,A person with long black hair is sitting in a room with a yellow wall and a white ceiling. They are wearing a white shirt and have a gold watch on their left wrist. They are talking to the camera and gesturing with their hands.,News
7334130841016274222,"The video features a black sports car parked in a parking lot. The car is sleek and has a low profile, with a prominent front grille and large alloy wheels. The background of the video is a typical parking lot with trees and a building in the distance. The video is overlaid with text that reads, ""I don't reverse park to look cool, a mufti can't park forward..."" This text suggests that the person filming the video is frustrated with their own parking skills and is trying to convey that they are not as skilled as others. The video does not provide any additional context or information about the person filming or the location.",1. News
7380389929790033185,"The video features a dramatic dance scene between two characters in a dark, dimly lit setting. The male character is dressed in a blue outfit with a cape, while the female character wears a white dress with a crown. The dance is intense and passionate, with the male character holding the female character in a close embrace. The background is dark, with a few lights visible, adding to the dramatic atmosphere. The video ends with the male character holding the female character in a close embrace, with the text ""You may have my number, you can say my name But you'll never have my heart Let the sky fall, let me crumble We will stand tall, I'll face it all Together",Sports
7343754603927850245,"The video is a series of images that appear to be from a protest or rally, with people holding signs and flags. The images are overlaid with text that reads ""FREE PALESTINE"" and ""Remember, you can post one video each day using this filter and it will still count. So, if you post once every Monday, Tuesday, Wednesday, private or public, it will count as three quotes."" The images show people in different poses, some holding signs and others holding flags. The colors in the images are mostly red, white, and black, with the flags being green, white, and black.",Politics
7357827492289465646,"A person wearing a white t-shirt with a cartoon character on it is standing in a kitchen. The person is making hand gestures and talking to the camera. The text on the screen reads, ""I don't personally think this is a hot take but some people might if I never had to eat again like I could just survive without putting food in my body I would and before everybody in the comments no it's inconvenient grocery shopping inconvenient cooking inconvenient fucking sitting down eating a goddamn meal inconvenient dude I don't want to do it anymore like I don't want to decide, dude. I don't want to decide what to eat. I don't want to cook. I don",Entertainment & Shows
