video_id,summary,category
7349900395843472672,"A man in a suit and tie is being interviewed by another man in a suit and tie. The man in the suit and tie is holding a microphone with the logo of the channel ""heute.de"" on it. The man being interviewed is wearing a cap with a Russian flag on it. The background shows a crowd of people and a building.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chacad qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person in a store, holding a brown hoodie with the word ""Balea"" on it. The person is pointing at different products on the shelves, which are labeled with prices and product names. The products are displayed in a variety of colors and sizes, and the person seems to be discussing the best-selling products from Balea. The video focuses on the Balea products, including the Vital Augencreme, Aqua Augen Roll-On, belebende Augenpflege, Vital Plus straffende Augencreme, and Q10 Anti-Falten Augencreme. The person is seen pointing at the",Beauty Care
7351403366368546081,"The video showcases a series of events where humans are being hunted by aliens. The aliens are depicted as being superior in technology and strength, and they are using various weapons to hunt the humans. The humans, on the other hand, are shown to be using their own weapons and tactics to try and survive. The video ends with the humans being defeated and the aliens taking over the planet.",1. Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow behind them. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a body of water in the background. The woman in the pink coat is speaking, while the woman in the green dress is listening. The video discusses the rise of the anti-immigration party AfD in Germany and its impact on the new citizenship rules. The video also mentions the Bundesrat, the German upper house of parliament, and its inability to block the law. The video concludes with the woman in the pink coat expressing her commitment to keeping the viewer updated on the situation.",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are holding a small container of a brow lift product and a spoolie brush. The person demonstrates the product by applying it to their eyebrows and then using the spoolie brush to shape and lift their eyebrows. The video also includes text overlays that read ""e.l.f brow lift review"" and ""So I literally been seeing this all over TikTok so I had to try it I ran to Alto to get the brow lift clear by ALF for like $10. I lied it's $6 so even better. We're gonna see what the hype",Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. She is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The text ""TikTok BAN TOMORROW"" is displayed at the top of the screen, indicating that the video is related to a potential ban on TikTok. The woman is seen gesturing with her hands, possibly emphasizing her points or engaging with the audience. The video also includes a text overlay that reads, ""Scroll mindlessly through TikTok and you're likely crossing paths with someone who's",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final scene shows the person in the pink sweater standing in the same room,",1. News
