video_id,summary,category
7349900395843472672,"The video shows a man in a suit and tie holding a microphone in front of a crowd. The crowd is holding Russian flags and appears to be listening to the man. The man is speaking into the microphone, and the text on the screen reads ""Putins/Vereinigte Russland"" (Putin's/United Russia). The man is also seen being interviewed by another man in a suit and tie, with a truck in the background. The man being interviewed is wearing a blue cap and a gray jacket. The video appears to be a news report or interview about the political situation in Russia.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a black screen with white text. The text reads ""EMERGENCY RELIEF DISTRIBUTION OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is in a bold, sans-serif font and is centered on the screen. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""Balea"" on it. The person is talking about the most popular beauty products from their store. The video then shows a close-up of the store shelves, displaying various beauty products, including Balea's Vital Augencreme, Aqua Augen Roll-On, and Q10 Anti-Falten Augencreme. The video also shows the prices of these products, with the Vital Augencreme being the most expensive at 3,85 Euro.",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens in a battle. Initially, the humans are shown preparing for a battle, with one person holding a piece of bread with various ingredients on it. The scene transitions to the aliens cooking food in a pan, with the text ""aside"" appearing, indicating a humorous or ironic moment. The aliens then cook the food in a pan, with the text ""laughed"" appearing, suggesting a comedic or exaggerated reaction.

The video then shows the aliens cooking the food in a pan, with the text ""laughed"" appearing, suggesting a comedic or exaggerated reaction. The scene transitions to the aliens cooking the food in",1. Entertainment & Shows
7380379588242804001,"The video shows a person lying in bed with a pink pillow behind them. The person is wearing a black shirt with blue text on it. The person is making hand gestures and talking to the camera. The text overlay on the video says ""Ni extraire droit ni extraire neuque?"" which translates to ""Do you want to extract right or extract nothing?"" The person is making a face and gesturing with their hands while talking.",Entertainment & Shows
7291005324717313313,"The video features a woman in a pink coat standing in front of a large building with a flag on top. She is speaking to the camera and providing information about the rise of the anti-immigration party AfD in Germany. The video also includes text overlays that provide additional information about the party's policies and the current state of the German citizenship rules. The woman is seen gesturing with her hands as she speaks, and the background includes a body of water and a bridge.",Politics
7184540937974975786,"The video shows a person sitting in the back seat of a car, wearing a black tank top and white headphones around their neck. They are holding a spoolie brush and applying a product to their eyebrows. The text overlay reads ""e.i.f brow lift review"" and ""e.i.f brow lift review"" throughout the video, indicating that the person is reviewing the product. The person appears to be demonstrating the use of the product, showing how it can be used to create a brow lift effect. The video ends with the person giving the product a 10 out of 10 rating, indicating that they found it to be a good investment and easy to use.",Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a colorful, starry background. She is holding a black object, possibly a makeup brush, and appears to be speaking or presenting something. The text ""TikTok BAN TOMORROW"" is displayed at the top of the screen, indicating that the video is related to a potential ban on the social media platform. The woman seems to be discussing the potential ban and its implications, as well as the benefits of using TikTok for educational purposes. The video also includes a phone number, ""202-224-321",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final frame shows the person in the pink sweater with a black bow tie,",1. News
7394913119375527210,"The video features a person wearing a gray shirt and a camouflage cap, standing in front of a plain wall. The person is seen making various hand gestures, including pointing and raising their hand. The background includes a shelf with various items, such as bottles and a box. The person appears to be engaged in a conversation or monologue, as indicated by the text overlay on the video. The text discusses the comparison of the number of people killed by different leaders, with a focus on Joe Biden and Saddam Hussein. The video concludes with the person continuing to make hand gestures, possibly emphasizing their points.",Politics
7327439802637307178,"The video showcases a person in a camouflage hoodie standing next to a white Chevrolet truck. The person is holding a phone and appears to be talking about the truck. The video also includes text overlays that read ""This is The CHEPAEST Brand New Truck You Can Buy Today *2024 Chevy W/T* part 2"" and ""This is The CHEPAEST Brand New Truck You Can Buy Today *2024 Chevy W/T* part 1."" The person is seen pointing at the truck and gesturing towards it, possibly discussing its features or design. The video also includes a close-up of the truck's","11. Outfit, Style, &"
7296461109572275488,"The video features a series of individuals wearing red ""Make America Great Again"" hats and shirts, expressing their opinions on unions. The first individual, wearing a red ""Make America Great Again"" hat and a red shirt with the text ""I'm a union member"" and ""I'm a union member,"" is seen in a parking lot with a truck and a building in the background. The second individual, also wearing a red ""Make America Great Again"" hat and a red shirt with the text ""I'm a union member,"" is seen in a park with trees and a building in the background. The third individual, wearing a red ""Make America Great Again"" hat and a red shirt with the",Politics
7385384197864557855,"The video features a series of images from a CNN broadcast, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums with microphones. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of th debate waswaaahhting whoever wasn't talking."" The video appears to be a commentary on the debate, focusing on the moments where the speakers are not engaging with the audience.",Politics
7358352976639184146,"The video shows a person driving a car on a rainy day, with the windshield wipers on. The road is wet, and the person is driving through a city. The video then shows the person driving through a foggy area, with the windshield wipers on. The video then shows the person driving through a rainy area, with the windshield wipers on. The video then shows the person driving through a foggy area, with the windshield wipers on. The video then shows the person driving through a rainy area, with the windshield wipers on. The video then shows the person driving through a foggy area, with the windshield wipers on. The video",1. News
