video_id,summary,category
7349900395843472672,"The video shows a man in a suit and tie being interviewed by another man holding a microphone. The man in the suit is wearing an orange and black microphone. The background shows a crowd of people and a building. The man in the suit is speaking into the microphone, and the man holding the microphone is listening. The video also shows a man in a gray jacket and a man in a blue cap and tie. The man in the gray jacket is holding a microphone, and the man in the blue cap and tie is also holding a microphone. The background shows a crowd of people and a building. The man in the gray jacket is speaking into the microphone, and the man in the blue cap and",Politics
7326597898358066465,"The video is a humorous comparison between two different cats, one with a smartphone and the other without. The first cat is shown with a smartphone in its mouth, while the second cat is shown without a smartphone. The text at the top of the video reads ""Pov: les appels avec mon chacad qui n'a jamais fait de jamais"" which translates to ""Pov: the calls with my cat who has never done anything."" The text at the bottom of the video reads ""Moi: ピュアニアット"" which translates to ""Me: Purity."" The video is a playful take",7. Pets & Animals
7302484543691328810,"The video is a black screen with white text. The text reads ""EMERGENCY RELIEF DISTRIBUTION OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is in a bold, sans-serif font and is centered on the screen. The video does not show any people or actions, just the text.",1. News
7339991555408694561,"The video showcases a selection of skincare products from Balea, a well-known brand in the beauty industry. The products are displayed on shelves in a store, with each product having its own price tag. The video begins with a person wearing a brown hoodie with the word ""Balea"" written on it, standing in front of the shelves. The person appears to be talking about the products, possibly discussing their features or benefits.

The video then transitions to a close-up view of the Balea products on the shelves. The first product shown is the Vital Augencreme, priced at 3,85 Euro for reife Haut. The second product",Beauty Care
7351403366368546081,"The video depicts a series of events involving a group of humans and aliens in a battle. Initially, the humans are shown preparing a sandwich with various ingredients, including cheese and vegetables. The scene transitions to a cooking process where the humans are cooking a dish in a pan, with the text ""fast"" appearing on the screen. The cooking process continues with the text ""just"" appearing, indicating a pause in the cooking. The video then shows the humans preparing a sandwich with a human arm, with the text ""then"" appearing, suggesting a sequence of events. The final scene shows the humans and aliens in a battle, with the text ""they"" appearing, indicating a continuation of the conflict. The",1. Entertainment & Shows
7380379588242804001,The video shows a person lying in bed with a pink pillow behind them. The person is wearing a black shirt with blue text on it. The person is holding their hand to their face and appears to be talking or thinking. The background is a white wall with a window. The person is also wearing a necklace with a pendant.,Entertainment & Shows
7291005324717313313,"The video features a woman in a pink coat standing in front of a large building with a river in the background. She is speaking to the camera and discussing the rise of the anti-immigration party AfD in Germany. The video includes text overlays that provide information about the party's performance in state elections and its stance on new citizenship rules. The woman also mentions that the law allowing dual nationality and faster German passport processing is still on track, despite the coalition government's opposition.",Politics
7184540937974975786,"The video shows a person sitting in the driver's seat of a car, wearing a black tank top and white headphones around their neck. They are holding a makeup brush and applying makeup to their eyebrows. The person is wearing a ring on their left hand. The video is titled ""e.l.f brow lift review"" and includes a description of the product and its benefits. The person is seen applying the product to their eyebrows, which appears to be a brow lift product. The video ends with the person giving a thumbs-up gesture and the text ""Let me know what you guys think.""",21. Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. She is speaking and gesturing with her hands. The text ""TikTok BAN TOMORROW"" appears at the top of the screen, indicating that the video is about a potential ban on the social media app TikTok. The woman appears to be discussing the issue, with the text ""They're trying to ban TikTok tomorrow, and this time it's different"" suggesting that the situation is unique or significant. The video also includes a call to action, with the text ""Call Congress at this number and",1. News
7343662075299761440,"The video begins with a woman in a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. She is looking at the camera with a serious expression. The text ""Me (a huge horror freak) thinking no scene could ever affect me"" appears at the top of the screen. The scene then transitions to a man in a white shirt and tie, who is covered in blood and appears to be in a state of shock or distress. The text ""This scene"" appears at the top of the screen. The video then cuts back to the woman in the pink sweater, who is still looking at the camera with a serious expression",1. News
7394913119375527210,"The video features a person wearing a gray shirt and a camouflage cap, speaking directly to the camera. The person is seen in different settings, including a room with a wooden shelf and a red object hanging on the wall, and a plain wall with a green bottle and a white object. The person is engaged in a conversation, responding to a comment about Joe Biden's actions and comparing them to those of Saddam Hussein and Vladimir Putin. The video includes a text overlay that provides context and further commentary on the topic, emphasizing the comparison of the number of people killed by different leaders and the moral implications of such comparisons.",Politics
7327439802637307178,"The video showcases a person in a green hoodie standing next to a white Chevrolet truck. The person is pointing at the truck and talking about its features. The video also includes text overlays that read ""This is the CHEPAEST Brand New Truck You Can Buy Today *2024 Chevy W/T* part 2"" and ""This is the CHEPAEST Brand New Truck You Can Buy Today *2024 Chevy W/T* part 3."" The person is discussing the truck's features, including its remote, lock, and panic features. The video also mentions that the truck has no options and is priced at $3",1. News
7296461109572275488,"The video features a series of interactions between Trump supporters and individuals who are critical of Trump's stance on unions. The first frame shows a man wearing a red hat with the text ""MAKE AMERICA GREAT AGAIN"" and a red and white striped shirt, standing in front of a poster of Donald Trump. The text overlay reads, ""Trump Supporters: I Disagree with Trump on..."" followed by a question, ""what do you think about unions?"" The man responds, ""I don't have a say in it, to be honest with you. Listen, I've been working in the unions since 88, okay? And when Trump came in, that's",Politics
7385384197864557855,"The video features a series of images from a CNN debate, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate was wacha-hitting whoever wasn't talking."" The video appears to be a compilation of clips from the debate, with the same two men in suits at the podiums. The text overlay suggests that the speaker finds the part of the debate where the speakers are not talking to be the most enjoyable. The video does not provide any additional context or information about the debate or the speakers.",Politics
