video_id,summary,category
7349900395843472672,"The video shows a man in a suit and tie being interviewed by another man holding a microphone. The man in the suit is wearing an orange and black microphone. The background shows a crowd of people and a building. The man in the suit is speaking into the microphone, and the man holding the microphone is listening. The video also shows a man in a gray jacket and a man in a blue cap and tie. The man in the gray jacket is holding a microphone, and the man in the blue cap and tie is also holding a microphone. The background shows a crowd of people and a building. The man in the gray jacket is speaking into the microphone, and the man in the blue cap and",Politics
7326597898358066465,"The video is a humorous comparison between two different cats, one with a smartphone and the other without. The first cat is shown with a smartphone in its mouth, while the second cat is shown without a smartphone. The text at the top of the video reads ""Pov: les appels avec mon chacad qui n'a jamais fait de jamais"" which translates to ""Pov: the calls with my cat who has never done anything."" The text at the bottom of the video reads ""Moi: ピッチャーにゃなとのピッチャーでに�",7. Pets & Animals
7302484543691328810,"The video is a black screen with white text. The text reads ""EMERGENCY RELIEF DISTRIBUTION OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is in a bold, sans-serif font and is centered on the screen. The video is likely a call to action for viewers to donate to a relief effort in response to a recent event in Gaza.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""Balea"" on it. The person is talking about the five most popular products from Balea, which are displayed on shelves in the store. The products shown are the Aqua Augen Roll-On, Vital Plus straffende Augencreme, Vital Expert Augencreme, and Q10 Anti-Falten Augencreme. The prices for these products are also shown in the video.",Beauty Care
7351403366368546081,"The video depicts a series of events involving a group of humans and aliens in a battle. Initially, the humans are shown preparing a sandwich with various ingredients, including cheese and vegetables. The scene transitions to a cooking process where the humans are seen cooking a dish in a pan, with the text ""fast"" appearing on the screen. The cooking process continues with the text ""just"" appearing, indicating a pause in the cooking. The video then shows the humans preparing a sandwich with a human arm, with the text ""then"" appearing, suggesting a sequence of events. The final scene shows the humans and aliens in a battle, with the text ""they"" appearing, indicating a continuation of the conflict.",1. Entertainment & Shows
7380379588242804001,The video shows a person lying in bed with a pink pillow behind them. The person is wearing a black shirt with blue text on it. The person is holding their hand to their face and appears to be talking or thinking. The background is a white wall with a window. The person is also wearing a necklace with a pendant.,Entertainment & Shows
7291005324717313313,"The video features a woman in a pink coat standing in front of a large building with a river in the background. She is speaking to the camera and discussing the rise of the anti-immigration party AfD in Germany. The video includes text overlays that provide information about the party's performance in state elections and its stance on new citizenship rules. The woman also mentions that the law allowing dual nationality and faster German passport processing is still on track, despite the coalition government's opposition.",1. News
7184540937974975786,"The video shows a person sitting in the driver's seat of a car, wearing a black tank top and white headphones around their neck. They are holding a makeup brush and applying makeup to their eyebrows. The person is wearing a ring on their left hand. The video is titled ""e.l.f brow lift review"" and includes a description of the product and its benefits. The person is seen applying the product to their eyebrows, which appears to be a brow lift product. The video ends with the person giving a thumbs-up gesture, indicating satisfaction with the product.",21. Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. She is speaking and gesturing with her hands. The text ""TikTok BAN TOMORROW"" appears at the top of the screen, indicating that the video is about a potential ban on TikTok. The woman is discussing the potential ban and its implications, mentioning that it is different from previous bans and that TikTok is used for educational purposes. She also mentions that the app is used by millions of people for learning and that the data is stored in the U.S. and not in China. The",1. News
7343662075299761440,"The video begins with a woman in a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The text ""Me (a huge horror freak) thinking no one could ever affect me"" appears at the top of the screen. The scene then transitions to a man in a white shirt and tie, who is covered in blood and appears to be in a state of distress. The text ""This scene"" appears at the top of the screen. The video then cuts back to the woman in the pink sweater, who is now looking at the man in the white shirt and tie. The text ""And they were both found dead""",1. News
7394913119375527210,"The video features a person wearing a gray shirt and a camouflage cap, speaking directly to the camera. The person is seen in different settings, including a room with a wooden shelf and a red object hanging on the wall, and a plain wall with a green bottle and a white object. The person is engaged in a conversation, responding to a comment about Joe Biden's actions and comparing them to those of Saddam Hussein and Vladimir Putin. The video includes a text overlay that provides context and further commentary on the topic, emphasizing the comparison of the number of people killed by different leaders and the moral implications of such comparisons.",Politics
7327439802637307178,"The video showcases a person in a green hoodie standing next to a white Chevrolet truck. The person is pointing at the truck and appears to be discussing its features. The video also includes text overlays that provide information about the truck's features and pricing. The text mentions that the truck is the cheapest new truck you can buy today, with a price of $39,000. It also highlights the lack of options and features compared to other trucks, such as remote start, remote tailgate opening, and remote power close on the tailgate. The video concludes with a discussion about the truck's features, including power mirrors, wheels, and the overall design of the vehicle.",1. News
