video_id,summary,category
7349900395843472672,"A man in a suit and tie is standing in front of a crowd, holding a microphone. He is wearing a blue cap with a Russian flag on it. The crowd is holding flags and signs, and there are trees and buildings in the background. The man is talking into the microphone, and there is a logo on the microphone that says ""heute SHOW"".",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chacad qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various beauty and skincare products. The video then focuses on a shelf displaying different types of Balea products, including a pink box of Vital Augencreme, a blue box of Aqua Roll-On, and a yellow box of Q10 Anti-Falten Augencreme. The prices of the products are displayed on the shelves. The video then shows a close-up of the yellow box of Q10 Anti-Falten Augencreme, with the price of 1,9",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens, culminating in a battle where the aliens are defeated and the humans emerge victorious. The aliens, who were previously considered inferior, are shown to be highly trained soldiers from multiple countries, and their defeat is attributed to the humans' superior weaponry and tactics. The video also highlights the aliens' lack of self-awareness and their eventual demise, as well as the psychological impact of the battle on the humans.",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany and has come in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing for dual nationality and faster German passport processing is still on track. The woman in the green dress then asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The woman in the green dress continues",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person applies the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and the person's experience with it.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair wearing a dark gray sweater and a gold necklace with a pendant. They are sitting in front of a backdrop that resembles a starry night sky. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The video includes text overlays that provide information about the person's social media presence, including their Twitter and Instagram accounts, and a message about the potential ban of TikTok. The person also provides a phone number for viewers to call and express their opinion on the TikTok ban.",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final scene shows the person in the pink sweater standing in the same room,",1. News
7394913119375527210,A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something.,Politics
7327439802637307178,"A person is standing next to a white truck, talking about the features of the truck. The person is wearing a camouflage hoodie and is holding a phone. The truck has a black interior and a black front bumper. The person is pointing at the truck and talking about the features of the truck.",Sports
7296461109572275488,"The video features a series of interviews with Trump supporters who express their disagreements with the President's stance on unions. The interviews take place in various outdoor settings, including a metal building, a park, and a street. The participants are dressed in red and white clothing, often wearing red hats with the ""Make America Great Again"" slogan. They express their views on the importance of unions, the impact of Trump's policies on unions, and their personal experiences with unions. The video concludes with the participants discussing their support for Trump and their views on unions.",Politics
7385384197864557855,"The video features a series of images from a television broadcast, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums with microphones. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate wasa-wa-shitting whoever wasn't talking."" The images are static, with no movement or action taking place. The video does not contain any additional audio or visual elements.",Politics
7358352976639184146,"The video shows a person driving a car on a rainy day, with the windshield wipers on. The rain is falling heavily, creating a misty effect. The person is driving on a highway, and the traffic lights are visible in the distance. The video captures the changing colors of the sky as the sun sets, with the sun reflecting off the wet road and the car's windshield. The video also shows the person's reflection in the car's windshield, as well as the reflection of the traffic lights in the rain.",Science & Technology
