video_id,summary,category
7349900395843472672,"A man in a suit and tie is being interviewed by another man in a suit and tie. The man in the suit and tie is holding a microphone with the logo of the channel ""heute SH3W"" on it. The man being interviewed is wearing a cap with the Russian flag on it. The background shows a crowd of people and a building.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023 STOP THE KILLING STOP HATE. TIME TO DONATE."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person in a store, holding a brown hoodie with the word ""Balea"" on it. The person is pointing at different products on the shelves, which are labeled with prices and product names. The products are various types of skin care products, including creams and gels. The person is seen pointing at a box of Balea Vital Augencreme, which is priced at 3,85 Euro. The video also shows other products from Balea, such as the Aqua Augen Roll-On, the belebende Augenpflege, and the Vital Plus straffende Augencreme. The person is seen holding up the",Beauty Care
7351403366368546081,"The video showcases a series of events where humans are being hunted by aliens. Initially, the aliens are shown to be laughing at the humans, who are not equipped with weapons. However, the humans are able to defend themselves and eventually manage to defeat the aliens. The aliens are shown to be using various tactics to hunt the humans, including using stun grenades and bullets. The humans are shown to be able to adapt and use their own weapons to defend themselves. The video ends with the humans being able to defeat the aliens and take control of the situation.",1. Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow behind them. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Entertainment & Shows
7291005324717313313,"The video features two women standing in front of a large building with a body of water in the foreground. The woman in the pink coat is speaking, while the woman in the green dress is listening. The video discusses the rise of the anti-immigration party AfD in Germany and its impact on the new citizenship rules. The video also mentions that the law allowing for dual nationality and faster German passport processing is still on track, despite the coalition government's promise to prevent it. The video concludes with the woman in the pink coat encouraging viewers to follow her on social media.",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are holding a small container of a brow lift product and a spoolie brush. The person demonstrates the product by applying it to their eyebrows and using the spoolie brush to shape them. The video also includes text overlays that read ""e.l.f brow lift review"" and ""I've literally been seeing this all over TikTok so I had to try it."" The person appears to be explaining the benefits of the product and its ease of use.",Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. She is holding a makeup brush and appears to be speaking or presenting something. The text ""TikTok BAN TOMORROW"" is displayed at the top of the screen, indicating that the video is related to a potential ban on TikTok. The woman is seen gesturing with her hands and holding the makeup brush, suggesting she is explaining or demonstrating something related to makeup or beauty. The video also includes text overlays that provide additional information about the potential ban on TikTok and the importance of the issue. The",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The text ""Me (a huge horror freak) thinking no scene could ever affect me"" appears at the top of the screen. The scene then transitions to a person in a white shirt and tie, covered in blood, standing in a dimly lit room with a green hue. The text ""This scene"" appears at the top of the screen. The video then cuts back to the person in the pink sweater, who appears to be reacting to the scene.",1. News
