video_id,summary,category
7349900395843472672,A man in a suit and tie is being interviewed by a reporter. The reporter is holding a microphone with the logo of the news channel. The man is wearing a blue cap with a Russian flag on it. The background shows a crowd of people and a building. The reporter is asking the man questions about the situation in Ukraine.,Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRIBUTION OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video, with no other visual elements or audio present. The video does not contain any additional information or context beyond the text.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various skincare products. The video then focuses on a shelf displaying different skincare products, including a box of Balea Vital Augencreme and a box of Balea Aqua Augen Roll-On. The video continues to show the same shelf, with the person pointing at the products and discussing their prices. The video then shows a shelf with various skincare products, including a box of Balea Aqua Augen Roll-On and a box of Balea Aqua Augen Roll-On. The video",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens, culminating in a battle where the aliens are defeated and the humans emerge victorious. The aliens, who were previously considered inferior, are shown to be highly trained soldiers from multiple countries, and their defeat is attributed to their own arrogance and lack of preparedness. The video also highlights the use of advanced technology, such as a stun grenade and a grenade, which are used to incapacitate the aliens. The aliens' demise is depicted as a result of their own actions, such as their failure to adapt to the humans' tactics and their lack of self-defense mechanisms. The video concludes with the humans celebrating their victory and",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow and a white blanket. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Entertainment & Shows
7291005324717313313,"The video features two women standing in front of a large building, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany, coming in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink coat saying she will",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person applies the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and its benefits.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting. The background is a vibrant mix of pink, orange, and purple hues, resembling a nebula or a galaxy. The person is seen gesturing with their hands, possibly emphasizing points during their presentation.

Throughout the video, the person is seen holding the black object in their right hand and gesturing with their left hand. The cosmic-themed background remains consistent, providing a visually appealing backdrop to the presentation. The person's attire and",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final frame shows the person in the pink sweater with a black bow tie,",1. News
7394913119375527210,A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something.,Politics
7327439802637307178,"A person is standing next to a white truck, talking about the features of the truck. The person is wearing a camouflage hoodie and is holding a phone. The truck has a black interior and a black bumper. The person is pointing at the truck and talking about the features. The person is also pointing at the wheels of the truck.",Sports
7296461109572275488,"The video features a series of interviews with Trump supporters who express their disagreements with the President's stance on unions. The interviews take place in various outdoor settings, including a parking lot and a street, with the participants wearing red hats and jackets with the ""Make America Great Again"" slogan. The participants express their views on the importance of unions, the impact of Trump's policies on unions, and their personal experiences with unions. The video concludes with the participants discussing their support for Trump and their views on unions.",Politics
7385384197864557855,"The video features a series of images from a television broadcast, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums with microphones. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate wasa-wa-shitting whoever wasn't talking."" The images are static, with no movement or action taking place. The video does not contain any additional audio or visual elements.",Politics
7358352976639184146,"The video shows a person driving a car on a rainy day, with the windshield wipers on. The rain is falling heavily, creating a misty effect on the windshield. The person is driving on a highway, and the traffic lights are visible in the distance. The video captures the changing colors of the sky as the sun sets, with the sun reflecting off the wet road and the car's windshield. The video also shows the person's reflection in the car's windshield, as well as the reflection of the traffic lights in the rain.",Science & Technology
7371030140370963713,"The video is a series of clips from a video game, specifically a first-person shooter game. The game is set in a medieval-style environment with stone buildings and cobblestone streets. The player is using a futuristic weapon with a glowing green and blue design. The player is seen navigating through the environment, taking cover behind walls and using the weapon to shoot at enemies. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is",Sports
7328941581862473006,"The video showcases a fighter jet in flight, with the text ""HIGH"" appearing in yellow letters. The jet is seen on a runway, with a person in the background. The jet then takes off, and the text ""TARGET"" appears in yellow letters. The jet is seen on an aircraft carrier, with a green truck and a person in the background. The jet is then seen flying in the sky, with the text ""HIGH"" appearing in yellow letters. The jet is seen flying in the sky, with the text ""TARGET"" appearing in yellow letters. The jet is seen flying in the sky, with the text ""HIGH"" appearing in yellow letters. The jet",1. News
7295860137162591519,"The video features a person wearing a plaid shirt, speaking in front of a blue-lit background. The person is seen discussing various topics related to power, justice, and historical events. The text overlays on the screen provide context and commentary on the topics being discussed. The person appears to be making a point about the injustices committed by different groups throughout history, and the video ends with a message about the importance of remembering the feelings of righteousness that can lead to harmful actions.",Politics
7407540452611640606,"The video shows a person in a blue shirt sitting at a desk in an office, wearing black gloves. The person is holding a passport and a pen, and appears to be in the process of checking something on the desk. The background includes a white door, a computer keyboard, and a box. The person is seen writing on a piece of paper, and at one point, they are seen holding a green object, possibly a pen or a marker. The person then places the green object on the desk and continues to write on the paper. The video ends with the person waving their hand, possibly to signal the end of the interaction.",Science & Technology
7372987016914455841,"The video shows a cricket match between Pakistan and England. The players are wearing different colored uniforms, with the Pakistan team in orange and the England team in green. The match is taking place in a large stadium with a crowd of spectators. The players are seen running and playing the game.",Sports
7366561209996332320,A person with long black hair is sitting in a room with a yellow wall and a white ceiling. They are wearing a white shirt and have a gold watch on their left wrist. They are talking to the camera and gesturing with their hands.,News
7334130841016274222,"The video features a black sports car parked in a parking lot. The car is sleek and has a low profile, with a prominent front grille and large alloy wheels. The background of the video is a typical parking lot scene, with trees and a fence visible in the distance. The video is overlaid with text that reads, ""I don't reverse park to look cool, a mf just can't park forward..."" This text suggests that the person filming the video is frustrated with their friends' parking habits. The video does not contain any additional information or context beyond the text and the visual of the car.",1. News
7380389929790033185,"The video features a dramatic dance scene between two characters in a dark, dimly lit setting. The male character is dressed in a blue outfit with a cape, while the female character wears a white dress with a crown. The dance is intense and passionate, with the male character holding the female character in a close embrace. The background is dark, with a few lights visible, adding to the dramatic atmosphere. The video ends with the male character holding the female character in a close embrace, with the text ""You may have my number, you can say my name But you'll never have my heart Let the sky fall, let me crumble We will stand tall, I'll face it all Together",Sports
7343754603927850245,"The video is a series of images that appear to be from a protest or rally, with people holding signs and flags. The images are overlaid with text that reads ""FREE PALESTINE"" and ""Remember, you can post one video each day using this filter and it will still count. So, if you post once every Monday, Tuesday, Wednesday, private or public, it will count as three quotes."" The images show people in various poses, some holding signs and others holding flags. The colors in the images are mostly red, white, and black, with the flags being green, white, and black. The images are overlaid with text that reads ""FREE PALESTINE",Politics
7357827492289465646,"A person wearing a white t-shirt with a cartoon character on it is standing in a kitchen. The person is making hand gestures and talking to the camera. The text on the screen reads, ""I don't personally think this is a hot take but some people might if I never had to eat again like I could just survive without putting food in my body I would and before everybody in the comments no it's inconvenient grocery shopping inconvenient cooking inconvenient fucking sitting down eating a goddamn meal inconvenient dude I don't want to do it anymore like I don't want to decide, dude. I don't want to decide what to eat. I don't want to cook. I don",Entertainment & Shows
7366736772253977889,"The video starts with an aerial view of a coastal town, surrounded by lush green trees and a body of water. The text overlay reads, ""Is a country still a country if it sinks?"" This sets the stage for the discussion of Tuvalu, a small island nation in the Pacific. The video then transitions to a map of the Pacific, highlighting Tuvalu and its surrounding islands. The text overlay reads, ""Is a country still a country if it sinks?"" This question is posed again, emphasizing the vulnerability of Tuvalu to rising sea levels. The video then shows a group of people walking along a beach, with the text overlay reading, ""30 years ago, it was",Politics
7342750088902511915,"The video shows a person standing in a bathroom, taking a selfie with a phone. The person is wearing a black t-shirt, black shorts, and a blue wristband. The bathroom has a tiled wall with blue and yellow stripes, and there is a mirror above a sink. The person is holding the phone in their right hand and appears to be smiling or posing for the selfie.",1. News
7325461211653492010,"A person is wearing a purple hoodie with the word ""CRAZY"" written on it. They have long braids and are standing in front of a wooden door. They are talking to the camera and showing their hair.",Entertainment & Shows
7363144949442825518,"The video features a young woman with long blonde hair, wearing a black top with a graphic design. She is standing in a room with a white door in the background. The text overlay on the video reads, ""why is finding a girl friend no im not trying to fall in love with, im trying to fall in love with her."" The woman appears to be speaking directly to the camera, expressing her thoughts on the subject. The video does not contain any other discernible actions or movements.",1. Entertainment & Shows
