video_id,summary,category
7349900395843472672,"A man in a suit and tie is standing in front of a crowd, holding a microphone. He is wearing a blue cap with a Russian flag on it. The crowd is holding flags and signs, and there are trees and buildings in the background. The man is talking into the microphone, and the crowd is listening to him.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023 STOP THE KILLING STOP HATE. TIME TO DONATE."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person shopping in a store, specifically looking at the skincare products. The person is holding a box of Balea's Vital Augencreme, which is priced at 3,85 Euro. The person then moves on to the Aqua Augen Roll-On, which is priced at 2,45 Euro. Next, the person looks at the Vital Plus straffende Augencreme, which is priced at 3,95 Euro. Finally, the person looks at the Q10 Anti-Falten Augencreme, which is priced at 1,95 Euro. The video also shows the prices of other products in",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens participating in a battle. Initially, the humans are depicted as being sent to the aliens as losers, but they are not as defeated as expected. The aliens, however, are not pleased with the humans and are determined to defeat them. The humans are shown to be highly trained soldiers from multiple countries, and the aliens are surprised by their abilities. The humans are able to defeat the aliens, but the aliens are not pleased with the humans' victory. The aliens are shown to be using a variety of weapons, including grenades and bullets, to defeat the humans. The humans are shown to be using a variety of weapons,",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their hand.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany, coming in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink coat",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person applies the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and its benefits. The person appears to be satisfied with the results and recommends the product to viewers.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting. The background is a vibrant mix of pink, orange, and purple hues, resembling a nebula or galaxy. The person gestures with their hands while speaking, and the video includes text overlays that provide context and information. One text overlay reads, ""Scroll mindlessly through TikTok and you're likely to come across across the same old memes and jokes. But you might also learn something you didn't know about earth or space.",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The text ""Me (a huge horror freak) thinking no scene could ever affect me"" appears at the top of the screen. The scene then transitions to a person in a white shirt and tie, covered in blood, standing in a dimly lit room with a green hue. The text ""This scene"" appears at the top of the screen. The video then cuts back to the person in the pink sweater, who appears to be reacting to the scene.",1. News
