video_id,summary,category
7349900395843472672,"A man in a suit and tie is speaking into a microphone at an outdoor event. He is wearing a blue cap with a Russian flag on it. The event is crowded with people, and there are cars and trucks in the background. The man is talking to another man who is also holding a microphone. The man in the suit is wearing a tie and a white shirt. The man in the suit is wearing a blue cap with a Russian flag on it. The man in the suit is wearing a tie and a white shirt. The man in the suit is wearing a blue cap with a Russian flag on it. The man in the suit is wearing a tie and a white shirt. The man in",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video, with no other visual elements or audio present. The video does not contain any additional information or context beyond the text.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various skincare products. The video then focuses on a shelf displaying different skincare products, including a box of Balea Vital Augencreme and a box of Balea Aqua Augen Roll-On. The video continues to show the same shelf, with the person pointing at the products and discussing their prices. The video then shows a shelf with various skincare products, including a box of Balea Aqua Augen Roll-On and a box of Balea Aqua Augen Roll-On. The video",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens in a battle. The humans, who are the main characters, are depicted as being highly trained and equipped with advanced weapons. The aliens, on the other hand, are shown to be weaker and more vulnerable, often being defeated by the humans. The video also includes scenes of the humans being hunted down, tortured, and killed by the aliens, with the humans showing signs of desperation and determination in the face of overwhelming odds. The video ends with the humans being defeated and the aliens taking over the planet, with the humans being forced to live in a state of subjugation.",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany, coming in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink coat",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person is applying the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and the person's experience with it.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair wearing a dark gray sweater and a gold necklace with a pendant. They are sitting in front of a backdrop that resembles a starry night sky. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The background is a vibrant mix of pink, orange, and purple hues, with a nebula-like pattern.

Throughout the video, the person is seen gesturing with their hands, possibly emphasizing points or explaining something. The person also uses hand gestures to emphasize their points. The video includes text overlays that provide information about the person's social media presence, including their Twitter",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The text overlay reads, ""Me (a huge horror freak) thinking no scene could ever affect me."" The scene then transitions to a person in a white shirt and tie, covered in blood, standing in a dimly lit room with fluorescent lights. The text overlay changes to, ""This scene."" The person in the white shirt and tie appears to be in distress, with their head down and hands clenched. The video concludes with the person in the pink sweater standing in the same room, looking at the person in the",1. News
7394913119375527210,A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something.,Politics
7327439802637307178,"A person is standing next to a white truck, talking about the features of the truck. The person is wearing a camouflage hoodie and is holding a phone. The truck has a black interior and a black front bumper. The person is pointing at the truck and talking about the features of the truck.",Sports
7296461109572275488,"The video features a series of interviews with Trump supporters who express their disagreements with the President's stance on unions. The interviews take place in various outdoor settings, including a metal building and a parking lot, with the participants wearing red hats and jackets with the ""Make America Great Again"" slogan. The text overlay in yellow at the top of the screen reads ""Trump Supporters: I Disagree with Trump on..."" and the text in white at the bottom of the screen reads ""what do you think about unions?"" The participants express their views on the importance of unions, the impact of Trump's policies on unions, and their personal experiences with unions. The video concludes with the participants continuing their conversation,",Politics
