video_id,summary,category
7349900395843472672,"A man in a suit and tie is speaking into a microphone at an outdoor event. He is wearing a blue cap with a Russian flag on it. The event is crowded with people, and there are cars and trucks in the background. The man is talking to another man who is also holding a microphone. The man in the suit is wearing a tie and a white shirt. The man in the suit is wearing a blue cap with a Russian flag on it. The man in the suit is wearing a tie and a white shirt. The man in the suit is wearing a blue cap with a Russian flag on it. The man in the suit is wearing a tie and a white shirt. The man in",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown reacting to their cat's behavior with a surprised expression. The cat is shown with a smartphone in its mouth, and the text ""Pov: les appels avec mon chacad qui n'a jamais fait de cela"" (Pov: the calls with my cat who has never done this) is displayed. The person's reaction is shown with a surprised expression, and the text ""Moi: ハハ",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various skincare products. The video then focuses on a shelf displaying different skincare products, including a box of Balea Vital Augencreme and a box of Balea Aqua Augen Roll-On. The video continues to show the same shelf, with the person pointing at the products and discussing their prices. The video then shows a shelf with various skincare products, including a box of Balea Aqua Augen Roll-On and a box of Balea Aqua Augen Roll-On. The video",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens in a battle. The humans, who are the main characters, are depicted as being highly trained and equipped with advanced weapons. They are pitted against a group of aliens who are depicted as being weaker and more vulnerable. The humans are shown to be able to defeat the aliens with ease, using their advanced weapons and tactics. The aliens, on the other hand, are shown to be vulnerable to the humans' weapons and are quickly defeated. The video also shows the humans being able to survive and even thrive in the face of overwhelming odds, with the humans being able to adapt and evolve to overcome the challenges they face. The video",1. News
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their hand.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany, coming in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink coat",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person is applying the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and its benefits. The person appears to be satisfied with the results and recommends the product to viewers.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair wearing a dark gray sweater and a gold necklace with a pendant. They are sitting in front of a backdrop that resembles a starry night sky. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The video includes text overlays that provide information about the person's social media presence, including their Twitter and Instagram accounts, and a message about the potential ban of TikTok. The person also appears to be discussing the importance of TikTok in educating people about science and space, and the potential impact of the ban on the app's users.",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final scene shows the person in the pink sweater standing in the same room,",1. News
7394913119375527210,A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something.,Politics
7327439802637307178,"A person is standing next to a white truck, talking about the features of the truck. The person is wearing a camouflage hoodie and is holding a phone. The truck has a black interior and a black front bumper. The person is pointing at the truck and talking about the features of the truck.",Sports
7296461109572275488,"The video features a series of interviews with Trump supporters who express their disagreements with the President's stance on unions. The interviews take place in various outdoor settings, including a parking lot and a street, with the participants wearing red hats and jackets with the ""Make America Great Again"" slogan. The participants discuss their views on unions, with some expressing support for unions and others criticizing Trump's policies on the issue. The video concludes with the participants continuing their conversation, with one participant stating that they do not support Trump's policies on unions.",Politics
7385384197864557855,"The video features a series of images from a television broadcast, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums with microphones. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate wasa-wa-shitting whoever wasn't talking."" The images are static, with no movement or action taking place. The video does not contain any additional audio or visual elements.",Politics
7358352976639184146,"The video shows a person driving a car on a rainy day, with the windshield wipers on. The rain is falling heavily, creating a misty effect. The person is driving on a highway, and the traffic lights are visible in the distance. The video captures the changing colors of the sky as the sun sets, with the sun reflecting off the wet road and the car's windshield. The video also shows the person's reflection in the car's windshield, as well as the reflection of the traffic lights in the rain.",Science & Technology
7371030140370963713,"The video is a series of clips from a video game, specifically a first-person shooter game. The game is set in a medieval-style environment with stone buildings and cobblestone streets. The player is using a futuristic weapon with a glowing green and blue design. The player is seen navigating through the environment, taking cover behind walls and using the weapon to shoot at enemies. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is",Sports
7328941581862473006,"The video showcases a fighter jet in flight, with the text ""HIGH"" appearing in yellow letters. The jet is seen on a runway, with a person in the background. The jet then takes off, with the text ""TARGET"" appearing in purple letters. The jet is seen on an aircraft carrier, with a green truck and a large structure in the background. The jet is then seen flying through the sky, with the text ""HIGH"" appearing in yellow letters. The jet is seen flying through the sky, with the text ""TARGET"" appearing in purple letters. The jet is seen flying through the sky, with the text ""HIGH"" appearing in yellow letters. The",1. News
7295860137162591519,"The video features a person wearing a plaid shirt, speaking in front of a blue-lit background. The person is seen discussing various topics related to power, justice, and historical events. The text overlays on the screen provide context and commentary on the topics being discussed. The person appears to be making a point about the injustices committed by different groups throughout history, and the video ends with a message about the importance of remembering the feelings of righteousness that can lead to harmful actions.",Politics
