video_id,summary,category
7349900395843472672,"A man in a suit and tie is standing in front of a crowd, holding a microphone. He is talking to another man who is also holding a microphone. The man in the suit is wearing a cap with a Russian flag on it. The man in the suit is talking about the situation in Ukraine and how Russia is involved.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait de cela"" (Pov: The calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video, with no other visual elements or audio present. The video does not contain any additional context or information.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various skincare products. The video then focuses on a shelf displaying different skincare products, including a box of Balea Vital Augencreme and a box of Balea Aqua Augen Roll-On. The video continues to show the same shelf, with the person pointing at the products and discussing their prices. The video then shows a shelf with various skincare products, including a box of Balea Aqua Augen Roll-On and a box of Balea Aqua Augen Roll-On. The video",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens, culminating in a battle where the aliens are defeated and the humans emerge victorious. The aliens, who were previously considered inferior, are shown to be highly trained soldiers from multiple countries, and their defeat is attributed to the humans' superior weaponry and tactics. The video also highlights the aliens' lack of self-awareness and their eventual demise, as well as the psychological impact of the battle on the humans.",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Entertainment & Shows
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany and has come in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person applies the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and the person's experience with it.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair wearing a dark gray sweater and a gold necklace with a pendant. They are sitting in front of a backdrop that resembles a starry night sky. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The background is a vibrant mix of pink, orange, and purple hues, with a nebula-like pattern.

Throughout the video, the person is seen gesturing with their hands, possibly emphasizing points or explaining something. The person also uses hand gestures to emphasize their points, such as pointing upwards and making a circular motion with their hand.

The video includes text overl",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final scene shows the person in the pink sweater standing in the same room,",1. News
