video_id,summary,category
7349900395843472672,"The video shows a man in a suit and tie being interviewed by another man holding a microphone. The man in the suit is wearing an orange and black microphone. The background shows a crowd of people and a building with flags. The man in the suit is speaking into the microphone, and the man holding the microphone is listening. The video also shows a man in a gray jacket and a man in a blue cap and tie. The man in the gray jacket is holding a microphone, and the man in the blue cap and tie is also holding a microphone. The background shows a crowd of people and a building with flags. The man in the gray jacket is speaking into the microphone, and the man in",Politics
7326597898358066465,"The video is a humorous comparison between two different cats, one with a smartphone and the other without, as they react to the same situation. The first cat, with a smartphone, is shown in a room with a pink phone in its mouth, while the second cat, without a phone, is shown in a different room with a white cat. The text overlay in the video reads ""Pov: les appels avec mon chacad qui n'a jamais fait de jamais"" (Pov: the calls with my cat who has never made a call before) and ""Moi: ピッチピッチピ",7. Pets & Animals
7302484543691328810,"The video is a black screen with white text. The text reads ""EMERGENCY RELIEF DISTRIBUTION OCTOBER 1TH, 2023. Stop the killing. Stop the hate. Time to donate."" The text is in a bold, sans-serif font and is centered on the screen. The video is likely a call to action for viewers to donate to a relief effort in response to a recent event in Gaza.",1. News
7339991555408694561,"The video showcases a selection of skincare products from Balea, a well-known brand in the beauty industry. The products are displayed on shelves in a store, with each product having its own price tag. The video begins with a person wearing a brown hoodie with the word ""Balea"" written on it, standing in front of the shelves. The person appears to be talking about the products, possibly discussing their features or benefits.

The video then transitions to a close-up view of the Balea products on the shelves. The first product shown is the Vital+ Aqua Augencreme, priced at 3,85 Euro. The second product is the",Beauty Care
7351403366368546081,"The video depicts a series of events involving a group of humans and aliens in a battle. Initially, the humans are shown preparing a sandwich with various ingredients, including cheese and vegetables. The scene transitions to a cooking process where the humans are seen cooking a dish in a pan, with the text ""fast"" appearing on the screen. The cooking process continues with the text ""just"" appearing, indicating a pause in the cooking. The video then shows the humans preparing a sandwich with a human arm, with the text ""then"" appearing, suggesting a sequence of events. The final scene shows the humans preparing a sandwich with a human arm, with the text ""them"" appearing, indicating a continuation of the",1. Entertainment & Shows
7380379588242804001,The video shows a person lying in bed with a pink pillow behind them. The person is wearing a black shirt with blue text on it. The person is holding their hand to their face and appears to be talking or thinking. The background is a white wall with a window. The person is also wearing a necklace with a pendant.,Entertainment & Shows
7291005324717313313,"The video features a woman in a pink coat standing in front of a large building with a river in the background. She is speaking to the camera and discussing the rise of the anti-immigration party AfD in Germany. The video includes text overlays that provide information about the party's performance in state elections and its stance on new citizenship rules. The woman also mentions that the law allowing dual nationality and faster German passport processing is still on track, despite the coalition government's opposition.",Politics
7184540937974975786,"The video shows a person sitting in the driver's seat of a car, wearing a black tank top and white headphones around their neck. They are holding a makeup brush and applying makeup to their eyebrows. The person is wearing a ring on their left hand. The video is titled ""e.l.f brow lift review"" and includes a description of the product and its benefits. The person is seen applying the product to their eyebrows, which appears to be a brow lift product. The video ends with the person giving a thumbs-up gesture and the text ""Let me know what you guys think.""",13. Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. She is speaking and gesturing with her hands. The text ""TikTok BAN TOMORROW"" appears at the top of the screen, indicating that the video is about a potential ban on the social media app TikTok. The woman appears to be discussing the issue, with the text ""They're trying to ban TikTok tomorrow, and this time it's different"" suggesting that the situation is unique or significant. The video also includes a call to action, with the text ""Call Congress at this number and",1. News
7343662075299761440,"The video begins with a woman in a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. She is looking at the camera with a serious expression. The text ""Me (a huge horror freak) thinking no one could ever affect me"" appears at the top of the screen. The scene then transitions to a man in a white shirt and tie, who is covered in blood and appears to be in a state of shock or distress. The text ""This scene"" appears at the top of the screen. The man is then shown lying on the ground, with blood pooling around him. The text ""And they were both found dead",1. News
7394913119375527210,"The video features a person wearing a gray shirt and a camouflage cap, speaking directly to the camera. The person is seen in different settings, including a room with a wooden shelf and a red object hanging on the wall, and a plain wall with a green bottle. The person's expressions and gestures suggest they are engaged in a conversation or monologue, possibly addressing a specific topic or responding to a comment. The video includes a text overlay that provides context and commentary on the topic being discussed, which appears to be related to the comparison of the number of people killed by different leaders, including Joe Biden, Saddam Hussein, and Vladimir Putin. The video concludes with the person continuing their speech, emphasizing their point",Politics
7327439802637307178,"The video showcases a person in a green hoodie standing next to a white Chevrolet truck. The person is pointing at the truck and discussing its features. The video highlights the truck's lack of options, such as remote start, remote tailgate opening, and remote power close on the tailgate. It also mentions the absence of power folding mirrors and the need for power mirrors. The video concludes with a discussion about the truck's wheels, which are described as heavy-duty and wrapped in 255-7017 general grabbers.",1. News
7296461109572275488,"The video features a series of interactions between Trump supporters and individuals who are critical of Trump's stance on unions. The first frame shows a man wearing a red hat with the text ""MAKE AMERICA GREAT AGAIN"" and a red and white striped shirt, standing in front of a poster of Donald Trump. The text overlay reads, ""Trump Supporters: I Disagree with Trump on..."" followed by a question, ""what do you think about unions?"" The man responds, ""I don't have a say in it, to be honest with you. Listen, I've been working in the unions since 88, okay? And when Trump came in, that's",Politics
7385384197864557855,"The video features a series of images from a CNN broadcast, showing a man in a suit and red tie speaking at a podium. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate was wacha-hitting whoever wasn't talking."" The man appears to be delivering a speech or making a statement. The video is a commentary on the debate, focusing on the moments where the speaker is not engaging with the audience or other speakers.",Politics
7358352976639184146,"The video shows a person driving a car on a highway during a rainstorm. The car is driving on a wet road, and the windshield wipers are on. The person is driving in the rain, and the windshield wipers are moving back and forth. The video also shows a view of the road from inside the car, with the windshield wipers moving back and forth. The video ends with a view of the road from inside the car, with the windshield wipers moving back and forth.",1. News
7371030140370963713,"The video is a series of frames from a gameplay video of a character in a video game. The character is seen running up a set of stairs, with the game's score and time displayed at the top of the screen. The character is also seen using a weapon, and the text ""I'm stuck"" appears on the screen. The character is also seen using a different weapon, and the text ""Hello Spurs?"" appears on the screen. The character is also seen using a different weapon, and the text ""What's happening?"" appears on the screen. The character is also seen using a different weapon, and the text ""I'm coming!"" appears on the screen. The character is also",9. Sports
7328941581862473006,"The video begins with a close-up of a fighter jet on a runway, with the word ""HIGH"" in bright yellow letters superimposed over the image. The jet is stationary, and the background is a cloudy sky. The scene then transitions to a view of the jet in flight, with the word ""HIGH"" still visible. The jet is flying at a high altitude, and the background is a clear blue sky. The video then cuts to a view of the jet flying over the ocean, with the word ""HIGH"" still visible. The jet is flying at a high altitude, and the background is a dark blue sky with clouds. The video concludes with a black screen displaying",1. News
7295860137162591519,"The video features a person wearing a plaid shirt, with a blue background. The person is speaking, and the text overlay on the screen reads, ""I sometimes think about genocide and how barbaric it is and how people ever committed those kind of atrocities and I think we all assume that it could never happen again but it obviously can and probably will. I think about indigenous people and how they were obliterated by colonizers and those settlers did have a legitimate complaint. They were sometimes attacked and women and children were harmed but that kernel of truth was used to justify a greater evil by a larger power to obliterate indigenous people that had no chance to actually fight back. So much about leftist",1. News
