video_id,summary,category
7349900395843472672,"The video shows a man in a suit and tie holding a microphone with a logo on it. He is standing in front of a crowd of people, some of whom are holding Russian flags. The man is speaking into the microphone, and the text on the screen reads ""Undergrundsender Russia Today"" and ""Dobriden! Ich bin's, der verbotene Untergrundsender Russia Today."" The man is also seen wearing a cap with a Russian flag on it. The video appears to be a news report or interview, discussing the man's experiences and opinions on various topics.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: les appels avec mon chacad qui n'ai jamais fait de cela"" (Pov: the calls with my cat who has never done this). The person's reaction is shown in a split-screen format, with the left side showing the",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person shopping in a store, specifically looking at the skincare products on display. The person is holding a box of Balea's Vital Augencreme, which is priced at 3,85 Euro. The video then transitions to a close-up of the Balea Aqua Augen Roll-On, priced at 2,45 Euro, and the Balea belebende Augenpflege, priced at 2,95 Euro. The video continues to show the Balea Vital Plus straffende Augencreme, priced at 3,95 Euro, and the Balea Q10 Anti-F",Beauty Care
7351403366368546081,"The video showcases a series of events where humans are being hunted by aliens. Initially, the aliens are shown to be laughing at the humans' lack of power and intelligence. However, the humans are not intimidated and are determined to fight back. They are shown using various weapons and tactics to defend themselves, including using a stun grenade to blind the aliens and a bullet to kill one of them. The aliens are eventually defeated, and the humans are left to deal with the aftermath of their victory. The video ends with the humans celebrating their victory and reflecting on the harsh reality of their situation.",1. Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow behind them. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a body of water in the foreground. The woman in the pink coat is speaking, while the woman in the green dress is listening. The video includes text overlays that provide information about the rise of the anti-immigration party AfD in Germany and its impact on the new citizenship rules. The video also discusses the Bundesrat, the upper house of the German parliament, and its role in blocking the law. The video concludes with the woman in the pink coat expressing her commitment to keeping the viewer updated on the situation.",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are holding a small container of a brow lift product and a spoolie brush. The person demonstrates the product by applying it to their eyebrows and then using the spoolie brush to shape and lift their eyebrows. The video also includes text overlays that read ""e.l.f brow lift review"" and ""I've literally been seeing this all over TikTok so I had to try it."" The person appears to be explaining the benefits of the brow lift product and sharing their experience with it.",Beauty Care
7343334803665603883,"The video features a woman with long, wavy hair, wearing a dark sweater and a gold necklace, sitting in front of a cosmic-themed background. She is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The text ""TikTok BAN TOMORROW"" is displayed at the top of the screen, indicating that the video is related to a potential ban on TikTok. The woman is seen gesturing with her hands, possibly emphasizing her points or engaging with the audience. The video also includes a text overlay that reads, ""Scroll mindlessly through TikTok and you're likely crossing paths with someone who's",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The text overlay reads, ""Me (a huge horror freak) thinking no scene could ever affect me."" The scene then transitions to a person in a white shirt and tie, covered in blood, standing in a dimly lit room with a green hue. The text overlay changes to, ""This scene."" The person in the white shirt and tie appears to be in distress, with their hands raised in a defensive or pleading gesture. The video concludes with the person in the white shirt and tie still in the same position, with the",1. News
