video_id,summary,category
7349900395843472672,"A man in a suit and tie is standing in front of a crowd, holding a microphone. He is talking to another man who is also holding a microphone. The man in the suit is wearing a blue cap with a Russian flag on it. The man in the suit is talking about the situation in Ukraine and how Russia is not involved in the conflict. He is also talking about his experiences in the military and his time in the 90s.",Politics
7326597898358066465,"The video is a humorous comparison between a person's reaction to their cat's behavior and the reaction of a smartphone. The video is divided into two parts, each showing a different reaction.

In the first part, the person is shown in a room with a cat sitting on a bed. The person is holding a smartphone and looking at it with a surprised expression. The text on the screen reads ""Pov: Les appels avec mon chachet qui n'a jamais fait deja demeurer."" This translates to ""Pov: The calls with my cat who has never stayed in bed before.""

In the second part, the person is shown in",7. Pets & Animals
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7339991555408694561,"The video shows a person standing in a store, holding a brown hoodie with the word ""BALEA"" on it. The person is surrounded by shelves filled with various beauty and skincare products. The video then focuses on a shelf displaying different types of Balea products, including a pink box of Vital Augencreme, a blue box of Aqua Roll-On, and a yellow box of Q10 Anti-Falten Augencreme. The prices of the products are also displayed on the shelves. The video then shows a close-up of the yellow box of Q10 Anti-Falten Augencreme, with the price of 1,",Beauty Care
7351403366368546081,"The video showcases a series of events involving a group of humans and aliens, culminating in a battle where the aliens are defeated and the humans emerge victorious. The aliens, who were previously considered inferior, are shown to be highly trained soldiers from multiple countries, and their defeat is attributed to their own arrogance and lack of preparedness. The video also highlights the use of advanced technology, such as a stun grenade and a grenade, which are used to incapacitate the aliens. The aliens' demise is depicted as a result of their own actions, such as their failure to adapt to the humans' tactics and their lack of self-defense mechanisms. The video concludes with the humans celebrating their victory and",Entertainment & Shows
7380379588242804001,A person is lying in bed with a pink pillow. They are wearing a black shirt with blue writing on it. The person is making a peace sign with their fingers.,Politics
7291005324717313313,"The video features two women standing in front of a large building with a dome, discussing the rise of the Alternative for Germany (AfD) party in Germany. The woman in the pink coat explains that the AfD is on the rise in Germany, coming in second in the state elections in Hesse and third in Bavaria. She also mentions that the law allowing dual nationality and faster German passport processing is still on track. The woman in the green dress asks if the law can be stopped, and the woman in the pink coat responds that the coalition government still has the majority in the Bundestag, and the Bundesrat cannot block the law. The video concludes with the woman in the pink coat",Politics
7184540937974975786,"The video shows a person in a car, wearing a black tank top and white headphones around their neck. They are demonstrating the use of a brow lift product, which is a clear container with a brush applicator. The person applies the product to their eyebrows, demonstrating the technique and results. The video also includes text overlays that provide information about the product and the person's experience with it.",Beauty Care
7343334803665603883,"The video features a person with long, wavy hair wearing a dark gray sweater and a gold necklace with a pendant. They are sitting in front of a backdrop that resembles a starry night sky. The person is holding a black object, possibly a makeup product, and appears to be speaking or presenting something. The background is a vibrant mix of pink, orange, and purple hues, with a nebula-like pattern.

Throughout the video, the person is seen gesturing with their hands, possibly emphasizing points or explaining something. The person also uses hand gestures to emphasize their points, such as pointing upwards and making a circular motion with their hand.

The video includes text overl",Science & Technology
7343662075299761440,"The video begins with a person wearing a pink sweater with a black bow tie, standing in a room with a white wall and a shelf in the background. The person is looking at the camera with a serious expression. The scene then transitions to a close-up of a person with long blonde hair, wearing a white shirt with a red tie, standing in a dimly lit room with a green hue. The person appears to be in a state of shock or fear. The video then cuts back to the person in the pink sweater, who is now looking at the camera with a more relaxed expression. The final frame shows the person in the pink sweater with a black bow tie,",1. News
7394913119375527210,A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something.,Politics
7327439802637307178,"A person is standing next to a white truck, talking about the features of the truck. The person is wearing a camouflage hoodie and is holding a phone. The truck has a black interior and a black front bumper. The person is pointing at the truck and talking about the features of the truck.",Sports
7296461109572275488,"The video features a series of interviews with Trump supporters who express their disagreements with the President's stance on unions. The interviews take place in various outdoor settings, including a metal building, a park, and a street. The participants are dressed in red and white clothing, with some wearing red hats that read ""MAKE AMERICA GREAT AGAIN."" The interviews are conducted with a microphone, and the participants express their views on the importance of unions and the President's policies towards them. The video concludes with the participants continuing their conversation, with one of them stating that they do not support unions and that the President's policies have led to the destruction of union jobs.",Politics
7385384197864557855,"The video features a series of images from a television broadcast, showing two men in suits, one with a red tie and the other with a blue tie, standing at podiums with microphones. The background is blue with the CNN logo. The text overlay reads ""My favorite prt of the debate wasa-wa-shitting whoever wasn't talking."" The images are static, with no movement or action taking place. The video does not contain any additional audio or visual elements.",Politics
7358352976639184146,"The video shows a person driving a car on a rainy day, with the windshield wipers on. The rain is falling heavily, and the person is driving through a city. The video shows the person's reflection in the windshield, as well as the reflections of other cars on the wet road. The video also shows the person's reflection in the windshield, as well as the reflections of other cars on the wet road. The video shows the person's reflection in the windshield, as well as the reflections of other cars on the wet road. The video shows the person's reflection in the windshield, as well as the reflections of other cars on the wet road. The video shows",Science & Technology
7371030140370963713,"The video is a series of clips from a video game, specifically a first-person shooter game. The game is set in a medieval-style environment with stone buildings and cobblestone streets. The player is using a futuristic weapon with a glowing green and blue design. The player is seen navigating through the environment, taking cover behind walls and using the weapon to shoot at enemies. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is also seen using a grappling hook to swing across the environment. The player is",Sports
